13:31:51.304 -> 
13:32:08.179 -> sensor = 962	 output = 240
13:32:08.214 -> sensor = 960	 output = 240
13:32:08.249 -> sensor = 686	 output = 171
13:32:08.284 -> sensor = 150	 output = 37
13:32:08.319 -> sensor = 8	 output = 2
13:32:08.319 -> sensor = 9	 output = 2
13:32:08.354 -> sensor = 8	 output = 2
13:32:08.389 -> sensor = 8	 output = 2
13:32:08.424 -> sensor = 8	 output = 2
13:32:08.424 -> sensor = 8	 output = 2
13:32:08.458 -> sensor = 8	 output = 2
13:32:08.491 -> sensor = 8	 output = 2
13:32:08.526 -> sensor = 8	 output = 2
13:32:08.526 -> sensor = 8	 output = 2
13:32:08.561 -> sensor = 9	 output = 2
13:32:08.561 -> sensor = 8	 output = 2
13:32:08.596 -> sensor = 8	 output = 2
13:32:08.631 -> sensor = 15	 output = 3
13:32:08.666 -> sensor = 639	 output = 159
13:32:08.700 -> sensor = 962	 output = 240
13:32:08.735 -> sensor = 963	 output = 240
13:32:08.770 -> sensor = 961	 output = 240
13:32:08.770 -> sensor = 789	 output = 197
